ID,COD_PLAN,ANHO,ANHO_SIES,PLAN_NOMBRE,JORNADA_USACH,JORNADA_SIES,ESTADO_JORNADA,LLAVE,SIES,SIES_CAR,LLAVE_SIES,PROGRAMA_SIES,OBSERVACIÓN,COD_PLAN2,COD_CARRERA,Nombre_carrera,REPLICA_COD_SIES,DURACIÓN,DURACION_TOTAL,COD_DEPTO_2,COD_FAC_,depto,FACULTAD_,COD_FAC,FACULTAD,COD_DEPTO_2_CR,nombre_depto_cr,comparacion_cod_depto,ANHO_PLAN
2025-3701,3701,2025,2025-I71S1C2J1V1,ADMINISTRACION PUBLICA,1,1,OK,37012025,I71S1C2J1V1,I71S1C2J,2025I71S1C2J1V1,ADMINISTRACION PUBLICA,,3701,ADMPUB,ADMINISTRACIÓN PÚBLICA,I71S1C2J1V1,10,10,64,60,DPTO DE GEST Y POLÍTIC PÚBLIC,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,64,Departamento de Gestión y Políticas Públicas,TRUE,2025-3701
2025-3711,3711,2025,2025-I71S1C2J1V1,ADMINISTRACION PUBLICA (D),1,1,OK,37112025,I71S1C2J1V1,I71S1C2J,2025I71S1C2J1V1,ADMINISTRACION PUBLICA,,3711,ADMPUB,ADMINISTRACIÓN PÚBLICA,I71S1C2J1V1,10,10,64,60,DPTO DE GEST Y POLÍTIC PÚBLIC,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,64,Departamento de Gestión y Políticas Públicas,TRUE,2025-3711
2025-7330,7330,2025,2025-I71S1C913J1V1,ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,0,1,NO,73302025,I71S1C913J1V1,I71S1C913J,2025I71S1C913J1V1,ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,,7330,AGPP,ANÁLISIS Y GESTIÓN DE PROCESOS PRODUCTIVOS,I71S1C913J1V1,16,9,67,65,DPTO DE TECNOLOGÍAS GRALES,FACULTAD TECNOLÓGICA,65,Facultad Tecnológica,67,Departamento de Tecnologias de Gestión,TRUE,2025-7330
2025-4601,4601,2025,2025-I71S1C39J1V1,LICENCIATURA EN CIENCIA DE LA COMPUTACION,1,1,OK,46012025,I71S1C39J1V1,I71S1C39J,2025I71S1C39J1V1,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,,4601,LCC,ANALISTA EN COMPUTACIÓN CIENTÍFICA/LICENCIATURA EN CIENCIA DE LA COMPUTACIÓN,I71S1C39J1V1,10,10,51,50,DPTO MATEMÁT Y CS DE LA COMP,FACULTAD DE CIENCIA,50,Facultad de Ciencia,51,Departamento de Matemática y Ciencia de la Computación,TRUE,2025-4601
2025-4602,4602,2025,2025-I71S1C39J1V1,ANALISTA EN COMPUTACION CIENTIFICA/LICENCIATURA EN CIENCIA DE LA COMPUTACION,1,1,OK,46022025,I71S1C39J1V1,I71S1C39J,2025I71S1C39J1V1,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,,4602,LCC,ANALISTA EN COMPUTACIÓN CIENTÍFICA/LICENCIATURA EN CIENCIA DE LA COMPUTACIÓN,I71S1C39J1V1,10,10,51,50,DPTO MATEMÁT Y CS DE LA COMP,FACULTAD DE CIENCIA,50,Facultad de Ciencia,51,Departamento de Matemática y Ciencia de la Computación,TRUE,2025-4602
2025-4609,4609,2025,2025-I71S1C39J1V1,LICENCIATURA EN CIENCIA DE LA COMPUTACION - PROGRAMA ESPECIAL DE TITULACION,2,1,ERR,46092025,I71S1C39J1V1,I71S1C39J,2025I71S1C39J1V1,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,,4609,LCC,ANALISTA EN COMPUTACIÓN CIENTÍFICA/LICENCIATURA EN CIENCIA DE LA COMPUTACIÓN,I71S1C39J1V1,10,2,51,50,DPTO MATEMÁT Y CS DE LA COMP,FACULTAD DE CIENCIA,50,Facultad de Ciencia,51,Departamento de Matemática y Ciencia de la Computación,TRUE,2025-4609
2025-5110,5110,2025,2025-I71S1C3J1V1,ARQUITECTURA,1,1,OK,51102025,I71S1C3J1V1,I71S1C3J,2025I71S1C3J1V1,ARQUITECTURA,,5110,ARQ,ARQUITECTURA,I71S1C3J1V1,12,12,81,81,ESCUELA DE ARQUITECTURA,ESCUELA DE ARQUITECTURA,94,Facultad de Arquitectura y Ambiente Construido,81,Escuela de Arquitectura,TRUE,2025-5110
2025-5210,5210,2025,2025-I71S1C3J1V1,ARQUITECTURA,1,1,OK,52102025,I71S1C3J1V1,I71S1C3J,2025I71S1C3J1V1,ARQUITECTURA,,5210,ARQ,ARQUITECTURA,I71S1C3J1V1,12,12,81,81,ESCUELA DE ARQUITECTURA,ESCUELA DE ARQUITECTURA,94,Facultad de Arquitectura y Ambiente Construido,81,Escuela de Arquitectura,TRUE,2025-5210
2025-5310,5310,2025,2025-I71S1C3J1V2,ARQUITECTURA,1,1,OK,53102025,I71S1C3J1V2,I71S1C3J,2025I71S1C3J1V2,ARQUITECTURA,,5310,ARQ,ARQUITECTURA,I71S1C3J1V2,11,11,81,81,ESCUELA DE ARQUITECTURA,ESCUELA DE ARQUITECTURA,94,Facultad de Arquitectura y Ambiente Construido,81,Escuela de Arquitectura,TRUE,2025-5310
2025-4260,4260,2025,2025-I71S1C850J1V1,ASTROFISICA CON MENCION EN CIENCIA DE DATOS,1,1,OK,42602025,I71S1C850J1V1,I71S1C850J,2025I71S1C850J1V1,ASTROFISICA CON MENCION EN CIENCIA DE DATOS,,4260,ASTMCD,ASTROFÍSICA CON MENCIÓN EN CIENCIA DE DATOS,I71S1C850J1V1,10,8,52,50,DEPARTAMENTO DE FÍSICA,FACULTAD DE CIENCIA,50,Facultad de Ciencia,52,Departamento de Física,TRUE,2025-4260
2025-5031,5031,2025,2025-I71S1C4J1V1,BACHILLERATO EN CIENCIAS Y HUMANIDADES -PLAN 2004-,1,1,OK,50312025,I71S1C4J1V1,I71S1C4J,2025I71S1C4J1V1,BACHILLERATO EN CIENCIAS Y HUMANIDADES,,5031,BACHI,BACHILLERATO EN CIENCIAS Y HUMANIDADES,I71S1C4J1V1,10,4,54,54,PROGRAMA BACHILLERATO,PROGRAMA BACHILLERATO,15,Vicerrectoría Académica,54,Bachillerato en Ciencias y Humanidades,TRUE,2025-5031
2025-5032,5032,2025,2025-I71S1C4J1V1,PROGRAMA DE BACHILLERATO EN CIENCIAS Y HUMANIDADES,,,,50322025,I71S1C4J1V1,I71S1C4J,2025I71S1C4J1V1,BACHILLERATO EN CIENCIAS Y HUMANIDADES,,5032,BACHI,BACHILLERATO EN CIENCIAS Y HUMANIDADES,,4,4,54,54,PROGRAMA BACHILLERATO,PROGRAMA BACHILLERATO,15,Vicerrectoría Académica,54,Bachillerato en Ciencias y Humanidades,TRUE,2025-5032
2025-4110,4110,2025,2025-I71S1C5J1V1,BIOQUIMICA Y LICENCIATURA EN BIOQUIMICA,1,1,OK,41102025,I71S1C5J1V1,I71S1C5J,2025I71S1C5J1V1,BIOQUIMICA Y LICENCIATURA EN BIOQUIMICA,,4110,LEB,LICENCIATURA EN BIOQUÍMICA,I71S1C5J1V1,16,10,97,95,DEPARTAMENTO DE BIOLOGÍA,FACULTAD DE QUÍMICA Y BIOLOGÍA,95,Facultad de Química y Biología,97,Departamento de Biología,TRUE,2025-4110
2025-4111,4111,2025,2025-I71S1C5J1V1,BIOQUIMICA,1,1,OK,41112025,I71S1C5J1V1,I71S1C5J,2025I71S1C5J1V1,BIOQUIMICA Y LICENCIATURA EN BIOQUIMICA,,4111,LEB,LICENCIATURA EN BIOQUÍMICA,I71S1C5J1V1,16,10,95,95,DEPARTAMENTO DE BIOLOGÍA,FACULTAD DE QUÍMICA Y BIOLOGÍA,95,Facultad de Química y Biología,95,Facultad de Química y Biología,TRUE,2025-4111
