Año;Código Único;Tipo Institución 1;Tipo Institución 2;Tipo Institución 3;Región Sede;Provincia Sede;Comuna Sede;Área del conocimiento;Cine-F 97 Área;Cine-F 97 Subárea;Área Carrera Genérica;Cine-F 13 Área;Cine-F 13 Subárea;Tipo de institución;Código IES;Nombre IES;Código Sede;Nombre Sede;Código Carrera;Nombre Carrera;Modalidad;Jornada;Versión;Tipo Carrera;Plan Especial;Duración Estudios;Duración Titulación;Duración Total;Régimen;Duración formal del Régimen;Nombre Título;Grado Académico;Nivel Global;Nivel Carrera;Demre;Año Inicio;Acreditación Carrera o Programa;Elegibilidad Beca Pedagogía;"Pedagogía Medicina Odontología, Otro";Requisito Ingreso;Semestres reconocidos;Área Actual o Área Origen del programa;Área destino de Administración de Empresas y Derecho;"Área destino de Agricultura, Silvicultura, Pesca y Veterinaria";Área destino de Artes y Humanidades;"Área destino de Ciencias naturales, matemáticas y estadística";"Área destino de Ciencias Sociales, Periodismo e Información";Área destino de Educación;"Área destino de Ingeniería, Industria y Construcción";Área destino de Salud y Bienestar;Área destino de Servicios;Área destino de Tecnología de la Información y la Comunicación (TIC);Ponderación Notas;Ponderación Ranking Notas;Ponderación Lenguaje;Ponderación Matemáticas;Ponderación Matemáticas 2;Ponderación Historia;Ponderación Ciencias;Ponderación Otros;Vacantes Semestre Uno;Vacantes Semestre Dos;Formato Valor;Matrícula Anual;Costo Titulación;Costo Certificado Diploma;Arancel Anual;Vigencia
OFE_2026;I71S1C1000J2V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Otras Ingenierías Civiles;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);1000;PLAN ESPECIAL INGENIERIA CIVIL EN TERRITORIO Y MEDIOAMBIENTE;Presencial;Vespertina;1;Plan Especial;TITULADOS(AS);6;1;6;1;6;INGENIERO(A) CIVIL EN TERRITORIO Y MEDIOAMBIENTE;LICENCIADO(A) EN CIENCIAS DE LA INGENIERIA;Pregrado;Profesional Con Licenciatura;0;2025;No Acreditada;No elegible;Otro;Título Profesional;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Monto en Pesos;212000;444000;444000;6750000;Vigente sin estudiantes nuevos
OFE_2026;I71S1C1001J2V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Administración y Comercio;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);1001;PLAN ESPECIAL INGENIERIA COMERCIAL EN ECONOMIA;Presencial;Vespertina;1;Plan Especial;TITULO PROFESIONAL;5;1;5;1;5;INGENIERO COMERCIAL MENCION EN ECONOMIA;LICENCIADO EN CIENCIAS ECONOMICAS;Pregrado;Profesional Con Licenciatura;0;2025;No Acreditada;No elegible;Otro;Título Profesional;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8;Monto en Pesos;212000;444000;444000;6782000;Vigente con estudiantes nuevos
OFE_2026;I71S1C1001J2V2;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Administración y Comercio;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Ingeniería Comercial;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);1001;PLAN ESPECIAL INGENIERIA COMERCIAL EN ECONOMIA;Presencial;Vespertina;2;Plan Especial;TITULADOS O ESTUDIOS INCOMPLETOS CON PERFIL AFIN;7;1;7;1;7;INGENIERO COMERCIAL MENCION EN ECONOMIA;LICENCIADO EN CIENCIAS ECONOMICAS;Pregrado;Profesional Con Licenciatura;0;2025;No Acreditada;No elegible;Otro;Técnico de Nivel Superior;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;15;Monto en Pesos;212000;444000;444000;6782000;Vigente con estudiantes nuevos
OFE_2026;I71S1C100J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Básicas;Ciencias;Matemáticas y Estadísticas;Ingeniería en Matemática y Estadística;"Ciencias naturales, matemáticas y estadística";Matemáticas y Estadísticas;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);100;INGENIERIA MATEMATICA;Presencial;Diurna;1;Plan Regular;NO APLICA;12;1;12;1;12;INGENIERO MATEMATICO;LICENCIADO EN INGENIERIA MATEMATICA;Pregrado;Profesional Con Licenciatura;0;2002;No Acreditada;No elegible;Otro;Educación Media;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Monto en Pesos;212000;318000;318000;5997000;Vigente sin estudiantes nuevos
OFE_2026;I71S1C100J1V2;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Básicas;Ciencias;Matemáticas y Estadísticas;Ingeniería en Matemática y Estadística;"Ciencias naturales, matemáticas y estadística";Matemáticas y Estadísticas;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);100;INGENIERIA MATEMATICA;Presencial;Diurna;2;Plan Regular;NO APLICA;11;1;11;1;11;INGENIERO(A) MATEMATICO;LICENCIADO(A) EN INGENIERIA MATEMATICA;Pregrado;Profesional Con Licenciatura;16047;2025;No Acreditada;No elegible;Otro;Educación Media;0;4;0;0;0;0;0;0;0;0;0;0;10;40;10;20;10;0;10;0;40;0;Monto en Pesos;212000;318000;318000;5997000;Vigente con estudiantes nuevos
OFE_2026;I71S1C101J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Administración y Comercio;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);101;INGENIERIA EN AGRONEGOCIOS;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;1;10;INGENIERO EN AGRONEGOCIOS;LICENCIADO EN AGRONEGOCIOS;Pregrado;Profesional Con Licenciatura;16068;1991;No Acreditada;No elegible;Otro;Educación Media;0;1;0;0;0;0;0;0;0;0;0;0;10;40;15;25;0;10;10;0;25;0;Monto en Pesos;212000;208000;208000;6011000;Vigente con estudiantes nuevos
OFE_2026;I71S1C102J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Administración y Comercio;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Ingeniería en Recursos Humanos;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);102;TECNOLOGIA EN ADMINISTRACION DE PERSONAL;Presencial;Diurna;1;Plan Regular;NO APLICA;6;1;6;1;6;TECNOLOGO EN ADMINISTRACION DE PERSONAL;BACHILLER EN TECNOLOGIA;Pregrado;Profesional Sin Licenciatura;0;2002;No Acreditada;No elegible;Otro;Educación Media;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Monto en Pesos;212000;177000;177000;3808000;Vigente sin estudiantes nuevos
OFE_2026;I71S1C102J2V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Administración y Comercio;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Ingeniería en Recursos Humanos;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);102;TECNOLOGIA EN ADMINISTRACION DE PERSONAL;Presencial;Vespertina;1;Plan Regular;NO APLICA;6;1;6;1;6;TECNOLOGO EN ADMINISTRACION DE PERSONAL;BACHILLER EN TECNOLOGIA;Pregrado;Profesional Sin Licenciatura;0;2002;No Acreditada;No elegible;Otro;Educación Media;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Monto en Pesos;212000;177000;177000;3808000;Vigente sin estudiantes nuevos
OFE_2026;I71S1C103J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;Otros Profesionales de Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);103;TECNOLOGIA EN ALIMENTOS;Presencial;Diurna;1;Plan Regular;NO APLICA;6;1;6;1;6;TECNOLOGO EN ALIMENTOS;BACHILLER EN TECNOLOGIA;Pregrado;Profesional Sin Licenciatura;16081;2002;No Acreditada;No elegible;Otro;Educación Media;0;7;0;0;0;0;0;0;0;0;0;0;10;40;15;25;0;10;10;0;20;0;Monto en Pesos;212000;177000;177000;3862000;Vigente con estudiantes nuevos
OFE_2026;I71S1C103J2V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;Otros Profesionales de Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);103;PLAN ESPECIAL TECNOLOGO EN ALIMENTOS;Presencial;Vespertina;1;Plan Especial;NO APLICA;6;1;6;1;6;TECNOLOGO EN ALIMENTOS;BACHILLER EN TECNOLOGIA;Pregrado;Profesional Sin Licenciatura;0;2002;No Acreditada;No elegible;Otro;Educación Media;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Monto en Pesos;212000;177000;177000;3747000;Vigente sin estudiantes nuevos
